"price","tmsp"
4.1e-07,1430512200
4.10101010101e-07,1430512300
4.10202020202e-07,1430512400
4.10303030303e-07,1430512500
4.10404040404e-07,1430512600
4.10505050505e-07,1430512700
4.10606060606e-07,1430512800
4.10707070707e-07,1430512900
4.10808080808e-07,1430513000
4.10909090909e-07,1430513100
4.1101010101e-07,1430513200
4.11111111111e-07,1430513300
4.11212121212e-07,1430513400
4.11313131313e-07,1430513500
4.11414141414e-07,1430513600
4.11515151515e-07,1430513700
4.11616161616e-07,1430513800
4.11717171717e-07,1430513900
4.11818181818e-07,1430514000
4.11919191919e-07,1430514100
4.1202020202e-07,1430514200
4.12121212121e-07,1430514300
4.12222222222e-07,1430514400
4.12323232323e-07,1430514500
4.12424242424e-07,1430514600
4.12525252525e-07,1430514700
4.12626262626e-07,1430514800
4.12727272727e-07,1430514900
4.12828282828e-07,1430515000
4.12929292929e-07,1430515100
4.1303030303e-07,1430515200
4.13131313131e-07,1430515300
4.13232323232e-07,1430515400
4.13333333333e-07,1430515500
4.13434343434e-07,1430515600
4.13535353535e-07,1430515700
4.13636363636e-07,1430515800
4.13737373737e-07,1430515900
4.13838383838e-07,1430516000
4.13939393939e-07,1430516100
4.1404040404e-07,1430516200
4.14141414141e-07,1430516300
4.14242424242e-07,1430516400
4.14343434343e-07,1430516500
4.14444444444e-07,1430516600
4.14545454545e-07,1430516700
4.14646464646e-07,1430516800
4.14747474747e-07,1430516900
4.14848484848e-07,1430517000
4.14949494949e-07,1430517100
4.15050505051e-07,1430517200
4.15151515152e-07,1430517300
4.15252525253e-07,1430517400
4.15353535354e-07,1430517500
4.15454545455e-07,1430517600
4.15555555556e-07,1430517700
4.15656565657e-07,1430517800
4.15757575758e-07,1430517900
4.15858585859e-07,1430518000
4.1595959596e-07,1430518100
4.16060606061e-07,1430518200
4.16161616162e-07,1430518300
4.16262626263e-07,1430518400
4.16363636364e-07,1430518500
4.16464646465e-07,1430518600
4.16565656566e-07,1430518700
4.16666666667e-07,1430518800
4.16767676768e-07,1430518900
4.16868686869e-07,1430519000
4.1696969697e-07,1430519100
4.17070707071e-07,1430519200
4.17171717172e-07,1430519300
4.17272727273e-07,1430519400
4.17373737374e-07,1430519500
4.17474747475e-07,1430519600
4.17575757576e-07,1430519700
