"freq_bin","magnitude"
0.0,0.01422196
3.63808345763e-07,0.00205957724124
7.27616691527e-07,0.00105008284115
1.09142503729e-06,0.000457484928959
1.45523338305e-06,0.00038013133482
1.81904172882e-06,0.000146152069252
2.18285007458e-06,0.000167903611094
2.54665842034e-06,0.000181642606229
2.91046676611e-06,0.000257126615747
3.27427511187e-06,8.1112193194e-05
3.63808345763e-06,9.89813123617e-05
4.0018918034e-06,8.70087693553e-05
4.36570014916e-06,3.64629192448e-05
4.72950849492e-06,0.000104933506763
5.09331684069e-06,4.46830430567e-05
5.45712518645e-06,6.60432131486e-05
5.82093353222e-06,0.000107581280397
6.18474187798e-06,9.37198555223e-05
6.54855022374e-06,2.69425346135e-05
6.91235856951e-06,4.08219112731e-05
7.27616691527e-06,6.19763261924e-05
7.63997526103e-06,1.4954061088e-05
8.0037836068e-06,4.41062711817e-05
8.36759195256e-06,7.11848637075e-05
8.73140029832e-06,1.70608487242e-05
9.09520864409e-06,3.53991117621e-05
9.45901698985e-06,4.37783927135e-05
9.82282533561e-06,8.17665769857e-06
1.01866336814e-05,1.81263316972e-05
1.05504420271e-05,6.86892625696e-05
1.09142503729e-05,3.53981307888e-05
1.12780587187e-05,5.01845114312e-05
1.16418670644e-05,5.00985738625e-05
1.20056754102e-05,2.06821926224e-05
1.2369483756e-05,3.38766257348e-05
1.27332921017e-05,2.27182904081e-05
1.30971004475e-05,1.3201314469e-05
1.34609087932e-05,2.97407959341e-05
1.3824717139e-05,6.35363199525e-05
1.41885254848e-05,4.53411402111e-05
1.45523338305e-05,6.20251013198e-05
1.49161421763e-05,4.12746978438e-05
1.52799505221e-05,2.48971268547e-05
1.56437588678e-05,2.47243271208e-05
1.60075672136e-05,6.4237774193e-05
1.63713755594e-05,4.75750564006e-05
1.67351839051e-05,6.89127217686e-05
1.70989922509e-05,4.90396231684e-05
1.74628005966e-05,1.92988880339e-05
1.78266089424e-05,1.55356722332e-05
1.81904172882e-05,2.86053461392e-05
1.85542256339e-05,1.42455008885e-05
1.89180339797e-05,2.69562839833e-05
1.92818423255e-05,2.54079717241e-05
1.96456506712e-05,2.23596683402e-05
2.0009459017e-05,3.75881362157e-05
2.03732673628e-05,2.28295918653e-05
2.07370757085e-05,1.22033198677e-05
2.11008840543e-05,9.44810001748e-06
2.14646924e-05,2.6749777704e-05
2.18285007458e-05,3.66803077316e-05
2.21923090916e-05,2.53744325475e-05
2.25561174373e-05,2.49284111142e-05
2.29199257831e-05,1.80743600275e-05
2.32837341289e-05,4.40740278854e-05
2.36475424746e-05,4.15667092327e-05
2.40113508204e-05,2.86535081203e-05
2.43751591662e-05,2.91126401229e-05
2.47389675119e-05,1.02769273493e-05
2.51027758577e-05,2.21027808328e-05
2.54665842034e-05,3.75538064899e-05
2.58303925492e-05,3.79918407969e-05
2.6194200895e-05,2.47083702727e-05
2.65580092407e-05,1.5655078722e-05
2.69218175865e-05,1.05674732183e-05
2.72856259323e-05,7.3857933889e-06
2.7649434278e-05,2.31029473078e-05
2.80132426238e-05,1.61099907041e-05
2.83770509695e-05,1.56347094891e-05
2.87408593153e-05,2.01353811297e-05
2.91046676611e-05,1.28444000025e-05
2.94684760068e-05,1.76501982904e-05
2.98322843526e-05,1.61169023089e-05
3.01960926984e-05,3.01584639269e-05
3.05599010441e-05,2.62326790309e-05
3.09237093899e-05,2.19758987317e-05
3.12875177357e-05,2.08984768581e-05
3.16513260814e-05,2.31434533833e-05
3.20151344272e-05,2.12453551697e-05
3.23789427729e-05,2.02382851487e-05
3.27427511187e-05,2.35318786247e-05
3.31065594645e-05,2.22274286661e-05
3.34703678102e-05,2.25670757677e-05
3.3834176156e-05,1.7816791326e-05
3.41979845018e-05,1.15129978737e-05
3.45617928475e-05,2.34826545989e-05
3.49256011933e-05,1.26263608761e-05
3.52894095391e-05,1.75084709908e-05
3.56532178848e-05,1.98669729865e-05
3.60170262306e-05,2.64358652822e-06
3.63808345763e-05,1.37844461716e-05
3.67446429221e-05,1.31814327054e-05
3.71084512679e-05,1.30524714087e-05
3.74722596136e-05,1.72837560454e-05
3.78360679594e-05,1.70195734967e-05
3.81998763052e-05,1.40479106559e-05
3.85636846509e-05,1.36974494653e-05
3.89274929967e-05,2.56875236414e-05
3.92913013425e-05,1.89492618652e-05
3.96551096882e-05,1.77328272352e-05
4.0018918034e-05,1.91033799766e-05
4.03827263797e-05,1.59174931121e-05
4.07465347255e-05,1.73159876408e-05
4.11103430713e-05,2.19485436781e-05
4.1474151417e-05,1.0252593588e-05
4.18379597628e-05,1.56615672152e-05
4.22017681086e-05,1.20023269153e-05
4.25655764543e-05,5.54847456687e-06
4.29293848001e-05,2.12750011692e-05
4.32931931459e-05,2.27848634709e-05
4.36570014916e-05,1.73016203012e-05
4.40208098374e-05,7.50628756495e-06
4.43846181831e-05,7.78160018108e-06
4.47484265289e-05,9.96489058414e-06
4.51122348747e-05,1.16774400064e-05
4.54760432204e-05,1.54154125919e-05
4.58398515662e-05,1.68068754489e-05
4.6203659912e-05,1.0308540394e-05
4.65674682577e-05,1.10574641128e-05
4.69312766035e-05,9.43344238288e-06
4.72950849492e-05,1.96876924636e-05
4.7658893295e-05,1.23188635228e-05
4.80227016408e-05,5.65993881475e-06
4.83865099865e-05,1.33826686742e-05
4.87503183323e-05,1.36183347555e-05
4.91141266781e-05,1.03890962536e-05
4.94779350238e-05,1.97212134047e-05
4.98417433696e-05,2.58435011727e-05
5.02055517154e-05,1.40625890997e-05
5.05693600611e-05,1.08388248009e-05
5.09331684069e-05,8.74772622798e-06
5.12969767526e-05,1.39668748451e-05
5.16607850984e-05,1.61362997141e-05
5.20245934442e-05,1.94636563301e-05
5.23884017899e-05,1.58755934686e-05
5.27522101357e-05,1.02043225629e-05
5.31160184815e-05,8.16171115859e-06
5.34798268272e-05,1.04615498289e-05
5.3843635173e-05,1.07710126464e-05
