"price","tmsp"
237.6957,1430511300
237.697146465,1430511400
237.698592929,1430511500
237.700039394,1430511600
237.701485859,1430511700
237.702932323,1430511800
237.704378788,1430511900
237.705825253,1430512000
237.707271717,1430512100
237.708718182,1430512200
237.710164646,1430512300
237.711611111,1430512400
237.713057576,1430512500
237.71450404,1430512600
237.715950505,1430512700
237.71739697,1430512800
237.718843434,1430512900
237.720289899,1430513000
237.721736364,1430513100
237.723182828,1430513200
237.724629293,1430513300
237.726075758,1430513400
237.727522222,1430513500
237.728968687,1430513600
237.730415152,1430513700
237.731861616,1430513800
237.733308081,1430513900
237.734754545,1430514000
237.73620101,1430514100
237.737647475,1430514200
237.739093939,1430514300
237.740540404,1430514400
237.741986869,1430514500
237.743433333,1430514600
237.744879798,1430514700
237.746326263,1430514800
237.747772727,1430514900
237.749219192,1430515000
237.750665657,1430515100
237.752112121,1430515200
237.753558586,1430515300
237.755005051,1430515400
237.756451515,1430515500
237.75789798,1430515600
237.759344444,1430515700
237.760790909,1430515800
237.762237374,1430515900
237.763683838,1430516000
237.765130303,1430516100
237.766576768,1430516200
237.768023232,1430516300
237.769469697,1430516400
237.770916162,1430516500
237.772362626,1430516600
237.773809091,1430516700
237.775255556,1430516800
237.77670202,1430516900
237.778148485,1430517000
237.779594949,1430517100
237.781041414,1430517200
237.782487879,1430517300
237.783934343,1430517400
237.785380808,1430517500
237.786827273,1430517600
237.788273737,1430517700
237.789720202,1430517800
237.791166667,1430517900
237.792613131,1430518000
237.794059596,1430518100
237.795506061,1430518200
237.796952525,1430518300
237.79839899,1430518400
237.799845455,1430518500
237.801291919,1430518600
237.802738384,1430518700
237.804184848,1430518800
237.805631313,1430518900
237.807077778,1430519000
237.808524242,1430519100
237.809970707,1430519200
237.811417172,1430519300
237.812863636,1430519400
237.814310101,1430519500
237.815756566,1430519600
237.81720303,1430519700
237.818649495,1430519800
237.82009596,1430519900
237.821542424,1430520000
237.822988889,1430520100
237.824435354,1430520200
237.825881818,1430520300
237.827328283,1430520400
237.828774747,1430520500
237.830221212,1430520600
237.831667677,1430520700
237.833114141,1430520800
237.834560606,1430520900
237.836007071,1430521000
237.837453535,1430521100
237.8389,1430521200
237.814511111,1430521300
237.790122222,1430521400
237.765733333,1430521500
237.741344444,1430521600
237.716955556,1430521700
237.692566667,1430521800
237.668177778,1430521900
237.643788889,1430522000
237.6194,1430522100
237.595011111,1430522200
237.570622222,1430522300
237.546233333,1430522400
237.521844444,1430522500
237.497455556,1430522600
237.473066667,1430522700
237.448677778,1430522800
237.424288889,1430522900
237.3999,1430523000
237.375511111,1430523100
237.351122222,1430523200
237.326733333,1430523300
237.302344444,1430523400
237.277955556,1430523500
237.253566667,1430523600
237.229177778,1430523700
237.204788889,1430523800
237.1804,1430523900
237.156011111,1430524000
237.131622222,1430524100
237.107233333,1430524200
237.082844444,1430524300
237.058455556,1430524400
237.034066667,1430524500
237.009677778,1430524600
236.985288889,1430524700
236.9609,1430524800
236.936511111,1430524900
236.912122222,1430525000
236.887733333,1430525100
236.863344444,1430525200
236.838955556,1430525300
236.814566667,1430525400
236.790177778,1430525500
236.765788889,1430525600
236.7414,1430525700
236.717011111,1430525800
236.692622222,1430525900
236.668233333,1430526000
236.643844444,1430526100
236.619455556,1430526200
236.595066667,1430526300
236.570677778,1430526400
236.546288889,1430526500
236.5219,1430526600
236.497511111,1430526700
236.473122222,1430526800
236.448733333,1430526900
236.424344444,1430527000
236.399955556,1430527100
236.375566667,1430527200
236.351177778,1430527300
236.326788889,1430527400
236.3024,1430527500
236.278011111,1430527600
236.253622222,1430527700
236.229233333,1430527800
236.204844444,1430527900
236.180455556,1430528000
236.156066667,1430528100
236.131677778,1430528200
236.107288889,1430528300
236.0829,1430528400
236.058511111,1430528500
236.034122222,1430528600
236.009733333,1430528700
235.985344444,1430528800
235.960955556,1430528900
235.936566667,1430529000
235.912177778,1430529100
235.887788889,1430529200
235.8634,1430529300
235.839011111,1430529400
235.814622222,1430529500
235.790233333,1430529600
235.765844444,1430529700
235.741455556,1430529800
235.717066667,1430529900
235.692677778,1430530000
235.668288889,1430530100
235.6439,1430530200
235.619511111,1430530300
235.595122222,1430530400
235.570733333,1430530500
235.546344444,1430530600
235.521955556,1430530700
235.497566667,1430530800
235.473177778,1430530900
235.448788889,1430531000
235.4244,1430531100
235.451180247,1430531200
235.477960494,1430531300
235.504740741,1430531400
235.531520988,1430531500
235.558301235,1430531600
235.585081481,1430531700
235.611861728,1430531800
235.638641975,1430531900
235.665422222,1430532000
235.692202469,1430532100
235.718982716,1430532200
235.745762963,1430532300
235.77254321,1430532400
235.799323457,1430532500
235.826103704,1430532600
235.852883951,1430532700
235.879664198,1430532800
235.906444444,1430532900
235.933224691,1430533000
235.960004938,1430533100
235.986785185,1430533200
236.013565432,1430533300
236.040345679,1430533400
236.067125926,1430533500
236.093906173,1430533600
236.12068642,1430533700
236.147466667,1430533800
236.174246914,1430533900
236.20102716,1430534000
236.227807407,1430534100
236.254587654,1430534200
236.281367901,1430534300
236.308148148,1430534400
236.334928395,1430534500
236.361708642,1430534600
236.388488889,1430534700
236.415269136,1430534800
236.442049383,1430534900
236.46882963,1430535000
236.495609877,1430535100
236.522390123,1430535200
236.54917037,1430535300
236.575950617,1430535400
236.602730864,1430535500
236.629511111,1430535600
236.656291358,1430535700
236.683071605,1430535800
236.709851852,1430535900
236.736632099,1430536000
236.763412346,1430536100
236.790192593,1430536200
236.81697284,1430536300
236.843753086,1430536400
236.870533333,1430536500
236.89731358,1430536600
236.924093827,1430536700
236.950874074,1430536800
236.977654321,1430536900
237.004434568,1430537000
237.031214815,1430537100
237.057995062,1430537200
237.084775309,1430537300
237.111555556,1430537400
237.138335802,1430537500
237.165116049,1430537600
237.191896296,1430537700
237.218676543,1430537800
237.24545679,1430537900
237.272237037,1430538000
237.299017284,1430538100
237.325797531,1430538200
237.352577778,1430538300
237.379358025,1430538400
237.406138272,1430538500
237.432918519,1430538600
237.459698765,1430538700
237.486479012,1430538800
237.513259259,1430538900
237.540039506,1430539000
237.566819753,1430539100
237.5936,1430539200
237.617388889,1430539300
237.641177778,1430539400
237.664966667,1430539500
237.688755556,1430539600
237.712544444,1430539700
237.736333333,1430539800
237.760122222,1430539900
237.783911111,1430540000
237.8077,1430540100
237.831488889,1430540200
237.855277778,1430540300
237.879066667,1430540400
237.902855556,1430540500
237.926644444,1430540600
237.950433333,1430540700
237.974222222,1430540800
237.998011111,1430540900
238.0218,1430541000
238.045588889,1430541100
238.069377778,1430541200
238.093166667,1430541300
238.116955556,1430541400
238.140744444,1430541500
238.164533333,1430541600
238.188322222,1430541700
238.212111111,1430541800
238.2359,1430541900
238.259688889,1430542000
238.283477778,1430542100
238.307266667,1430542200
238.331055556,1430542300
238.354844444,1430542400
238.378633333,1430542500
238.402422222,1430542600
238.426211111,1430542700
238.45,1430542800
238.437497222,1430542900
238.424994444,1430543000
238.412491667,1430543100
238.399988889,1430543200
238.387486111,1430543300
238.374983333,1430543400
238.362480556,1430543500
238.349977778,1430543600
238.337475,1430543700
238.324972222,1430543800
238.312469444,1430543900
238.299966667,1430544000
238.287463889,1430544100
238.274961111,1430544200
238.262458333,1430544300
238.249955556,1430544400
238.237452778,1430544500
238.22495,1430544600
238.212447222,1430544700
238.199944444,1430544800
238.187441667,1430544900
238.174938889,1430545000
238.162436111,1430545100
238.149933333,1430545200
238.137430556,1430545300
238.124927778,1430545400
238.112425,1430545500
238.099922222,1430545600
238.087419444,1430545700
238.074916667,1430545800
238.062413889,1430545900
238.049911111,1430546000
238.037408333,1430546100
238.024905556,1430546200
238.012402778,1430546300
237.9999,1430546400
238.002483333,1430546500
238.005066667,1430546600
238.00765,1430546700
238.010233333,1430546800
238.012816667,1430546900
238.0154,1430547000
238.017983333,1430547100
238.020566667,1430547200
238.02315,1430547300
238.025733333,1430547400
238.028316667,1430547500
238.0309,1430547600
238.033483333,1430547700
238.036066667,1430547800
238.03865,1430547900
238.041233333,1430548000
238.043816667,1430548100
238.0464,1430548200
238.048983333,1430548300
238.051566667,1430548400
238.05415,1430548500
238.056733333,1430548600
238.059316667,1430548700
238.0619,1430548800
238.064483333,1430548900
238.067066667,1430549000
238.06965,1430549100
238.072233333,1430549200
238.074816667,1430549300
238.0774,1430549400
238.079983333,1430549500
238.082566667,1430549600
238.08515,1430549700
238.087733333,1430549800
238.090316667,1430549900
238.0929,1430550000
238.095483333,1430550100
238.098066667,1430550200
238.10065,1430550300
238.103233333,1430550400
238.105816667,1430550500
238.1084,1430550600
238.110983333,1430550700
238.113566667,1430550800
238.11615,1430550900
238.118733333,1430551000
238.121316667,1430551100
238.1239,1430551200
238.126483333,1430551300
238.129066667,1430551400
238.13165,1430551500
238.134233333,1430551600
238.136816667,1430551700
238.1394,1430551800
238.125278333,1430551900
238.111156667,1430552000
238.097035,1430552100
238.082913333,1430552200
238.068791667,1430552300
238.05467,1430552400
238.040548333,1430552500
238.026426667,1430552600
238.012305,1430552700
237.998183333,1430552800
237.984061667,1430552900
237.96994,1430553000
237.955818333,1430553100
237.941696667,1430553200
237.927575,1430553300
237.913453333,1430553400
237.899331667,1430553500
237.88521,1430553600
237.871088333,1430553700
237.856966667,1430553800
237.842845,1430553900
237.828723333,1430554000
237.814601667,1430554100
237.80048,1430554200
237.786358333,1430554300
237.772236667,1430554400
237.758115,1430554500
237.743993333,1430554600
237.729871667,1430554700
237.71575,1430554800
237.701628333,1430554900
237.687506667,1430555000
237.673385,1430555100
237.659263333,1430555200
237.645141667,1430555300
237.63102,1430555400
237.630280556,1430555500
237.629541111,1430555600
237.628801667,1430555700
237.628062222,1430555800
237.627322778,1430555900
237.626583333,1430556000
237.625843889,1430556100
237.625104444,1430556200
237.624365,1430556300
237.623625556,1430556400
237.622886111,1430556500
237.622146667,1430556600
237.621407222,1430556700
237.620667778,1430556800
237.619928333,1430556900
237.619188889,1430557000
237.618449444,1430557100
237.61771,1430557200
237.616970556,1430557300
237.616231111,1430557400
237.615491667,1430557500
237.614752222,1430557600
237.614012778,1430557700
237.613273333,1430557800
237.612533889,1430557900
237.611794444,1430558000
237.611055,1430558100
237.610315556,1430558200
237.609576111,1430558300
237.608836667,1430558400
237.608097222,1430558500
237.607357778,1430558600
237.606618333,1430558700
237.605878889,1430558800
237.605139444,1430558900
237.6044,1430559000
237.595587037,1430559100
237.586774074,1430559200
237.577961111,1430559300
237.569148148,1430559400
237.560335185,1430559500
237.551522222,1430559600
237.542709259,1430559700
237.533896296,1430559800
237.525083333,1430559900
237.51627037,1430560000
237.507457407,1430560100
237.498644444,1430560200
237.489831481,1430560300
237.481018519,1430560400
237.472205556,1430560500
237.463392593,1430560600
237.45457963,1430560700
237.445766667,1430560800
237.436953704,1430560900
237.428140741,1430561000
237.419327778,1430561100
237.410514815,1430561200
237.401701852,1430561300
237.392888889,1430561400
237.384075926,1430561500
237.375262963,1430561600
237.36645,1430561700
237.357637037,1430561800
237.348824074,1430561900
237.340011111,1430562000
237.331198148,1430562100
237.322385185,1430562200
237.313572222,1430562300
237.304759259,1430562400
237.295946296,1430562500
237.287133333,1430562600
237.27832037,1430562700
237.269507407,1430562800
237.260694444,1430562900
237.251881481,1430563000
237.243068519,1430563100
237.234255556,1430563200
237.225442593,1430563300
237.21662963,1430563400
237.207816667,1430563500
237.199003704,1430563600
237.190190741,1430563700
237.181377778,1430563800
237.172564815,1430563900
237.163751852,1430564000
237.154938889,1430564100
237.146125926,1430564200
237.137312963,1430564300
237.1285,1430564400
237.145827778,1430564500
237.163155556,1430564600
237.180483333,1430564700
237.197811111,1430564800
237.215138889,1430564900
237.232466667,1430565000
237.249794444,1430565100
237.267122222,1430565200
237.28445,1430565300
237.301777778,1430565400
237.319105556,1430565500
237.336433333,1430565600
237.353761111,1430565700
237.371088889,1430565800
237.388416667,1430565900
237.405744444,1430566000
237.423072222,1430566100
237.4404,1430566200
237.457727778,1430566300
237.475055556,1430566400
237.492383333,1430566500
237.509711111,1430566600
237.527038889,1430566700
237.544366667,1430566800
237.561694444,1430566900
237.579022222,1430567000
237.59635,1430567100
237.613677778,1430567200
237.631005556,1430567300
237.648333333,1430567400
237.665661111,1430567500
237.682988889,1430567600
