"price","tmsp"
7.035e-05,1430509500
7.03444444444e-05,1430509600
7.03388888889e-05,1430509700
7.03333333333e-05,1430509800
7.03277777778e-05,1430509900
7.03222222222e-05,1430510000
7.03166666667e-05,1430510100
7.03111111111e-05,1430510200
7.03055555556e-05,1430510300
7.03e-05,1430510400
7.02944444444e-05,1430510500
7.02888888889e-05,1430510600
7.02833333333e-05,1430510700
7.02777777778e-05,1430510800
7.02722222222e-05,1430510900
7.02666666667e-05,1430511000
7.02611111111e-05,1430511100
7.02555555556e-05,1430511200
7.025e-05,1430511300
7.02444444444e-05,1430511400
7.02388888889e-05,1430511500
7.02333333333e-05,1430511600
7.02277777778e-05,1430511700
7.02222222222e-05,1430511800
7.02166666667e-05,1430511900
7.02111111111e-05,1430512000
7.02055555556e-05,1430512100
7.02e-05,1430512200
7.01944444444e-05,1430512300
7.01888888889e-05,1430512400
7.01833333333e-05,1430512500
7.01777777778e-05,1430512600
7.01722222222e-05,1430512700
7.01666666667e-05,1430512800
7.01611111111e-05,1430512900
7.01555555556e-05,1430513000
7.015e-05,1430513100
7.01497222222e-05,1430513200
7.01494444444e-05,1430513300
7.01491666667e-05,1430513400
7.01488888889e-05,1430513500
7.01486111111e-05,1430513600
7.01483333333e-05,1430513700
7.01480555556e-05,1430513800
7.01477777778e-05,1430513900
7.01475e-05,1430514000
7.01472222222e-05,1430514100
7.01469444444e-05,1430514200
7.01466666667e-05,1430514300
7.01463888889e-05,1430514400
7.01461111111e-05,1430514500
7.01458333333e-05,1430514600
7.01455555556e-05,1430514700
7.01452777778e-05,1430514800
7.0145e-05,1430514900
7.01447222222e-05,1430515000
7.01444444444e-05,1430515100
7.01441666667e-05,1430515200
7.01438888889e-05,1430515300
7.01436111111e-05,1430515400
7.01433333333e-05,1430515500
7.01430555556e-05,1430515600
7.01427777778e-05,1430515700
7.01425e-05,1430515800
7.01422222222e-05,1430515900
7.01419444444e-05,1430516000
7.01416666667e-05,1430516100
7.01413888889e-05,1430516200
7.01411111111e-05,1430516300
7.01408333333e-05,1430516400
7.01405555556e-05,1430516500
7.01402777778e-05,1430516600
7.014e-05,1430516700
7.01355555556e-05,1430516800
7.01311111111e-05,1430516900
7.01266666667e-05,1430517000
7.01222222222e-05,1430517100
7.01177777778e-05,1430517200
7.01133333333e-05,1430517300
7.01088888889e-05,1430517400
7.01044444444e-05,1430517500
7.01e-05,1430517600
7.00955555556e-05,1430517700
7.00911111111e-05,1430517800
7.00866666667e-05,1430517900
7.00822222222e-05,1430518000
7.00777777778e-05,1430518100
7.00733333333e-05,1430518200
7.00688888889e-05,1430518300
7.00644444444e-05,1430518400
7.006e-05,1430518500
7.00555555556e-05,1430518600
7.00511111111e-05,1430518700
7.00466666667e-05,1430518800
7.00422222222e-05,1430518900
7.00377777778e-05,1430519000
7.00333333333e-05,1430519100
7.00288888889e-05,1430519200
7.00244444444e-05,1430519300
7.002e-05,1430519400
7.00155555556e-05,1430519500
7.00111111111e-05,1430519600
7.00066666667e-05,1430519700
7.00022222222e-05,1430519800
6.99977777778e-05,1430519900
6.99933333333e-05,1430520000
6.99888888889e-05,1430520100
6.99844444444e-05,1430520200
6.998e-05,1430520300
6.99758333333e-05,1430520400
6.99716666667e-05,1430520500
6.99675e-05,1430520600
6.99633333333e-05,1430520700
6.99591666667e-05,1430520800
6.9955e-05,1430520900
6.99508333333e-05,1430521000
6.99466666667e-05,1430521100
6.99425e-05,1430521200
6.99383333333e-05,1430521300
6.99341666667e-05,1430521400
6.993e-05,1430521500
6.99258333333e-05,1430521600
6.99216666667e-05,1430521700
6.99175e-05,1430521800
6.99133333333e-05,1430521900
6.99091666667e-05,1430522000
6.9905e-05,1430522100
6.99008333333e-05,1430522200
6.98966666667e-05,1430522300
6.98925e-05,1430522400
6.98883333333e-05,1430522500
6.98841666667e-05,1430522600
6.988e-05,1430522700
6.98758333333e-05,1430522800
6.98716666667e-05,1430522900
6.98675e-05,1430523000
6.98633333333e-05,1430523100
6.98591666667e-05,1430523200
6.9855e-05,1430523300
6.98508333333e-05,1430523400
6.98466666667e-05,1430523500
6.98425e-05,1430523600
6.98383333333e-05,1430523700
6.98341666667e-05,1430523800
6.983e-05,1430523900
6.97925e-05,1430524000
6.9755e-05,1430524100
6.97175e-05,1430524200
6.968e-05,1430524300
6.96425e-05,1430524400
6.9605e-05,1430524500
6.95675e-05,1430524600
6.953e-05,1430524700
6.94925e-05,1430524800
6.9455e-05,1430524900
6.94175e-05,1430525000
6.938e-05,1430525100
6.93425e-05,1430525200
6.9305e-05,1430525300
6.92675e-05,1430525400
6.923e-05,1430525500
6.91925e-05,1430525600
6.9155e-05,1430525700
6.91175e-05,1430525800
6.908e-05,1430525900
6.90425e-05,1430526000
6.9005e-05,1430526100
6.89675e-05,1430526200
6.893e-05,1430526300
6.88925e-05,1430526400
6.8855e-05,1430526500
6.88175e-05,1430526600
6.878e-05,1430526700
6.87425e-05,1430526800
6.8705e-05,1430526900
6.86675e-05,1430527000
6.863e-05,1430527100
6.85925e-05,1430527200
6.8555e-05,1430527300
6.85175e-05,1430527400
6.848e-05,1430527500
6.848e-05,1430527600
6.848e-05,1430527700
6.848e-05,1430527800
6.848e-05,1430527900
6.848e-05,1430528000
6.848e-05,1430528100
6.848e-05,1430528200
6.848e-05,1430528300
6.848e-05,1430528400
6.848e-05,1430528500
6.848e-05,1430528600
6.848e-05,1430528700
6.848e-05,1430528800
6.848e-05,1430528900
6.848e-05,1430529000
6.848e-05,1430529100
6.848e-05,1430529200
6.848e-05,1430529300
6.848e-05,1430529400
6.848e-05,1430529500
6.848e-05,1430529600
6.848e-05,1430529700
6.848e-05,1430529800
6.848e-05,1430529900
6.848e-05,1430530000
6.848e-05,1430530100
6.848e-05,1430530200
6.848e-05,1430530300
6.848e-05,1430530400
6.848e-05,1430530500
6.848e-05,1430530600
6.848e-05,1430530700
6.848e-05,1430530800
6.848e-05,1430530900
6.848e-05,1430531000
6.848e-05,1430531100
6.85136111111e-05,1430531200
6.85472222222e-05,1430531300
6.85808333333e-05,1430531400
6.86144444444e-05,1430531500
6.86480555556e-05,1430531600
6.86816666667e-05,1430531700
6.87152777778e-05,1430531800
6.87488888889e-05,1430531900
6.87825e-05,1430532000
6.88161111111e-05,1430532100
6.88497222222e-05,1430532200
6.88833333333e-05,1430532300
6.89169444444e-05,1430532400
6.89505555556e-05,1430532500
6.89841666667e-05,1430532600
6.90177777778e-05,1430532700
6.90513888889e-05,1430532800
6.9085e-05,1430532900
6.91186111111e-05,1430533000
6.91522222222e-05,1430533100
6.91858333333e-05,1430533200
6.92194444444e-05,1430533300
6.92530555556e-05,1430533400
6.92866666667e-05,1430533500
6.93202777778e-05,1430533600
6.93538888889e-05,1430533700
6.93875e-05,1430533800
6.94211111111e-05,1430533900
6.94547222222e-05,1430534000
6.94883333333e-05,1430534100
6.95219444444e-05,1430534200
6.95555555556e-05,1430534300
6.95891666667e-05,1430534400
6.96227777778e-05,1430534500
6.96563888889e-05,1430534600
6.969e-05,1430534700
6.969e-05,1430534800
6.969e-05,1430534900
6.969e-05,1430535000
6.969e-05,1430535100
6.969e-05,1430535200
6.969e-05,1430535300
6.969e-05,1430535400
6.969e-05,1430535500
6.969e-05,1430535600
6.969e-05,1430535700
6.969e-05,1430535800
6.969e-05,1430535900
6.969e-05,1430536000
6.969e-05,1430536100
6.969e-05,1430536200
6.969e-05,1430536300
6.969e-05,1430536400
6.969e-05,1430536500
6.969e-05,1430536600
6.969e-05,1430536700
6.969e-05,1430536800
6.969e-05,1430536900
6.969e-05,1430537000
6.969e-05,1430537100
6.969e-05,1430537200
6.969e-05,1430537300
6.969e-05,1430537400
6.969e-05,1430537500
6.969e-05,1430537600
6.969e-05,1430537700
6.969e-05,1430537800
6.969e-05,1430537900
6.969e-05,1430538000
6.969e-05,1430538100
6.969e-05,1430538200
6.969e-05,1430538300
6.96883333333e-05,1430538400
6.96866666667e-05,1430538500
6.9685e-05,1430538600
6.96833333333e-05,1430538700
6.96816666667e-05,1430538800
6.968e-05,1430538900
6.96783333333e-05,1430539000
6.96766666667e-05,1430539100
6.9675e-05,1430539200
6.96733333333e-05,1430539300
6.96716666667e-05,1430539400
6.967e-05,1430539500
6.96683333333e-05,1430539600
6.96666666667e-05,1430539700
6.9665e-05,1430539800
6.96633333333e-05,1430539900
6.96616666667e-05,1430540000
6.966e-05,1430540100
6.96583333333e-05,1430540200
6.96566666667e-05,1430540300
6.9655e-05,1430540400
6.96533333333e-05,1430540500
6.96516666667e-05,1430540600
6.965e-05,1430540700
6.96483333333e-05,1430540800
6.96466666667e-05,1430540900
6.9645e-05,1430541000
6.96433333333e-05,1430541100
6.96416666667e-05,1430541200
6.964e-05,1430541300
6.96383333333e-05,1430541400
6.96366666667e-05,1430541500
6.9635e-05,1430541600
6.96333333333e-05,1430541700
6.96316666667e-05,1430541800
6.963e-05,1430541900
6.95994444444e-05,1430542000
6.95688888889e-05,1430542100
6.95383333333e-05,1430542200
6.95077777778e-05,1430542300
6.94772222222e-05,1430542400
6.94466666667e-05,1430542500
6.94161111111e-05,1430542600
6.93855555556e-05,1430542700
6.9355e-05,1430542800
6.93244444444e-05,1430542900
6.92938888889e-05,1430543000
6.92633333333e-05,1430543100
6.92327777778e-05,1430543200
6.92022222222e-05,1430543300
