"price","tmsp"
"243.4973",1431513900
"244.3752",1431516600
"244.4046",1431518400
"244.5331",1431520200
"244.4068",1431522000
"244.5962",1431523800
"245",1431525600
"244.9831",1431527400
"244.4363",1431529200
"244.9439",1431531000
"244.4721",1431532800
"244.4703",1431534600
"244.4703",1431536400
"245.6492",1431538200
"245.6492",1431540000
"244.991",1431541800
"244.9388",1431543600
"244.89144",1431545400
"244.6329",1431547200
"245.5",1431550800
"245.7901",1431552600
"241.7227",1431554400
"238.3837",1431556200
"238.3837",1431558000
"238.7086",1431559800
"238.6889",1431561600
"239.9014",1431563400
"239.7912",1431565200
"240.8023",1431567000
"239.616",1431568800
"239.643",1431570600
"239.6654",1431572400
"239.6654",1431574200
"239.5982",1431576000
"239.7574",1431577800
"239.1858",1431581400
"239.342",1431583200
"239.1374",1431585900
"238.7801",1431589500
"238.25",1431592200
"238.2417",1431594000
"236.9667",1431595800
"238.0466",1431598500
"239.1075",1431602100
"239.644",1431604800
"239.644",1431606600
"240.5013",1431612900
"240.503",1431614700
"237.5002",1431616500
"240.5",1431619200
"241.53",1431621000
"240.9999",1431622800
"239.8808",1431624600
"239.7663",1431626400
"240.3837",1431628200
"239.698708",1431630000
"239.4893",1431632700
"239.4893",1431635400
"239.3162",1431637200
"237.5736",1431639000
"240.04331",1431640800
"239.1865",1431642600
"239.2685",1431645300
"238",1431648000
"238.0001",1431650700
"237.2221",1431652500
"239.2712",1431655200
"240.05",1431657000
"237.8971",1431658800
"237.4025",1431660600
"237.75279",1431662400
"239.8071",1431666000
"239.8349",1431669600
"239.8962",1431672300
"239.9999",1431677700
"240",1431680400
"240.1137",1431684900
"238.4332",1431688500
"239.9839",1431690300
"240",1431693000
"240.7606",1431694800
"240.5297",1431698400
"240.4518",1431701100
"240.8833",1431702900
"241.39",1431704700
"240.5437",1431710100
"240.989",1431711900
"240.0341",1431714600
"240.1347",1431720000
"239.402",1431722700
"238.2139",1431728100
"239.0113",1431729900
"239.3264",1431731700
"238.8637",1431733500
"238.8935",1431735300
"240.05601",1431737100
"240.1944",1431740700
"240",1431742500
"240.7673",1431746100
"240.7703",1431749700
"240.3119",1431751500
"240.7399",1431753300
"240.3108",1431755100
"240.3119",1431756900
"240.786",1431758700
"240.6572",1431761400
"240.6109",1431763200
"240.212",1431765000
"240.8561",1431768600
"240.8789",1431770400
"240.7905",1431772200
"240.3522",1431774000
"240.3532",1431775800
"239.605",1431778500
"240.2253",1431780300
"240.2686",1431783000
"240.2686",1431784800
"240.2686",1431786600
"240.9974",1431788400
"240.2622",1431791100
"240",1431792900
"238",1431794700
"235.8896",1431796500
"235.5402",1431798300
"235.4988",1431800100
"234.9642",1431801900
"234.5633",1431803700
"234.9475",1431805500
"234.6",1431807300
"234.3",1431809100
"234.3",1431810900
"234.3827",1431812700
"234.8467",1431814500
"234.8725",1431817200
"234.6476",1431819000
"234.4191",1431820800
"234.3903",1431822600
"234.3922",1431824400
"234.8557",1431826200
"234.9105",1431828900
"234.7533",1431830700
"234.7515",1431832500
"234.7572",1431834300
"234.7574",1431836100
"234.7572",1431837900
"234.7572",1431840600
"234.921",1431842400
"234.7611",1431844200
"235.2139",1431846000
"235.1762",1431847800
"235.2223",1431849600
"235.1105",1431851400
"235.1484",1431853200
"235.1849",1431855000
"235.008",1431856800
"234.7297",1431858600
"234.5455",1431860400
"234.809",1431862200
"234.5391",1431864000
"234.7233",1431865800
"234.5456",1431867600
"234.5503",1431869400
"234.5483",1431871200
"234.5413",1431873000
"234.542",1431874800
"234.5428",1431876600
"234.759",1431878400
"235.0662",1431880200
"235.2927",1431882000
"234.8616",1431883800
"235.1706",1431885600
"234.965052",1431887400
"234.5006",1431889200
"234.5",1431891000
"234.7429",1431892800
"234.6",1431894600
"233.856",1431896400
"233.9382",1431898200
"233.8561",1431900000
"233.8561",1431901800
"233.8679",1431903600
"234.3083",1431905400
"234.2584",1431907200
"234.3166",1431909000
"233.8514",1431910800
"234.241",1431912600
"233.8465",1431916200
"234.6853",1431918900
"234",1431922500
"234.1089",1431927900
"234.0986",1431933300
"234.0051",1431935100
"234.0086",1431936900
"234.1014",1431938700
"233.4573",1431940500
"233.4",1431942300
"233.4662",1431944100
"233.7003",1431946800
"234.0945",1431948600
"234.6202",1431951300
"234.6202",1431953100
"234.5502",1431955800
"234.5087",1431958500
"234.7957",1431962100
"234.9445",1431963900
"234.8603",1431965700
"234.8636",1431968400
"234.4761",1431973800
"233.8496",1431978300
"233.5136",1431981000
"230.5466",1431982800
"230.7573",1431984600
"230.4098",1431986400
"230.342",1431988200
"230.3525",1431990000
"230.4326",1431991800
"230.4326",1431993600
"230.4296",1431995400
"230.88",1431997200
"231.288",1431999000
"231.91",1432000800
"231.6133",1432003500
"231.3479",1432008000
"230.9945",1432009800
"231.3909",1432011600
"231.6209",1432016100
"232.024",1432022400
"230.4056",1432026900
"231.3054",1432028700
"230.8508",1432030500
