"price","tmsp"
"1.95181174",1430552700
"2.04772948",1430557200
"2.04772948",1430559900
"2.04772948",1430563500
"2.04811961",1430565300
"2.05001463",1430567100
"2.04811961",1430569800
"2.04811961",1430571600
"2.04144747",1430574300
"1.95579557",1430579700
"2.02943346",1430581500
"2.02943346",1430583300
"2.02943346",1430585100
"1.95579557",1430586900
"2.02943346",1430588700
"2.02943346",1430590500
"2.02943346",1430592300
"1.95579557",1430594100
"1.95579557",1430595900
"1.95426145",1430597700
"1.95170458",1430600400
"1.95417622",1430602200
"1.95417622",1430604000
"2.02934823",1430605800
"1.95417622",1430609400
"2.02934823",1430611200
"2.02934823",1430613000
"2.02534089",1430614800
"1.95396531",1430616600
"1.95396531",1430618400
"2.02534089",1430620200
"1.95396531",1430622000
"1.95396531",1430623800
"2.02534089",1430625600
"2.02137348",1430628300
"2.02137348",1430631900
"2.02137348",1430634600
"2.01244136",1430636400
"2.01197356",1430639100
"2.01088293",1430644500
"2.01088293",1430648100
"2.00220686",1430649900
"2.00220686",1430652600
"2.00737201",1430654400
"1.9733847",1430656200
"1.87298696",1430658000
"1.87531611",1430661600
"1.88018444",1430663400
"1.88041508",1430667900
"1.88564748",1430679600
"1.93917401",1430686800
"1.93917401",1430689500
"1.93917401",1430696700
"1.93917401",1430702100
"1.88446443",1430709300
"1.939174",1430714700
"1.94221343",1430719200
"2.06396942",1430736300
"1.94675951",1430756100
"1.95262002",1430758800
"1.97023368",1430760600
"1.9761774",1430762400
"1.98077046",1430764200
"2.06010683",1430766000
"1.99054594",1430767800
"1.99604913",1430769600
"1.99209509",1430772300
"2.06010503",1430775000
"1.99030507",1430777700
"1.99581309",1430779500
"1.99583951",1430781300
"2.06038364",1430784000
"1.99583952",1430786700
"2.0586966",1430788500
"1.99170083",1430795700
"2.06009235",1430803800
"2.06009235",1430806500
"2.0563214",1430810100
"2.0563214",1430812800
"2.05656855",1430820900
"2.05449297",1430824500
"1.99279916",1430830800
"1.99279916",1430832600
"1.99279916",1430834400
"1.99279917",1430836200
"1.9961592",1430838000
"2.05687516",1430848800
"2.00062805",1430850600
"1.9961592",1430852400
"2.05663996",1430854200
"1.9959912",1430856000
"1.9959912",1430857800
"1.9959912",1430859600
"1.9958316",1430861400
"1.99871242",1430864100
"1.99871242",1430866800
"2.0505671",1430868600
"2.0505671",1430879400
"1.99887202",1430881200
"1.99887202",1430883000
"1.99887202",1430886600
"1.99887202",1430889300
"2.05663996",1430892000
"2.06009235",1430893800
"2.07611267",1430895600
"2.00396785",1430897400
"2.00396785",1430899200
"2.00402842",1430901000
"2.00402842",1430902800
"2.102",1430904600
"2.14800815",1430929800
"2.13707535",1430931600
"2.09300167",1430943300
"2.1008084",1430946900
"2.19956985",1430950500
"2.19140997",1430952300
"2.19956985",1430957700
"2.18008306",1430960400
"2.16563702",1430962200
"2.0560829",1430966700
"2.13762593",1430970300
"2.13762591",1430973000
"2.13762589",1430975700
"2.11641192",1430982000
"2.11545924",1430984700
"2.11545924",1430986500
"2.08313019",1430988300
"2.08313019",1430990100
"1.87531612",1431018000
"1.99167954",1431031500
"1.99167954",1431033300
"1.99167954",1431036000
"1.89115547",1431037800
"1.99167954",1431046800
"1.99167954",1431048600
"1.99167954",1431050400
"1.99167954",1431052200
"1.99167953",1431054900
"1.99167954",1431057600
"1.98635456",1431059400
"1.98635456",1431062100
"1.98051425",1431064800
"1.98051425",1431069300
"1.98051425",1431071100
"1.98051425",1431072900
"1.98051425",1431074700
"1.98089502",1431077400
"1.97607152",1431079200
"1.97607152",1431081000
"1.97607152",1431082800
"1.97607152",1431084600
"1.97607152",1431087300
"1.97607152",1431089100
"1.97607152",1431090900
"1.97607152",1431092700
"1.97607152",1431095400
"1.97607151",1431098100
"1.97607152",1431104400
"1.97607152",1431106200
"1.97607152",1431108000
"1.97607152",1431109800
"1.97607152",1431111600
"1.97570846",1431113400
"1.80821008",1431120600
"1.90206735",1431124200
"1.90206735",1431126000
"1.90206735",1431127800
"1.90206735",1431129600
"1.90206735",1431131400
"1.90206735",1431133200
"1.89709552",1431135000
"1.80760262",1431136800
"1.89709552",1431138600
"1.89709552",1431140400
"1.89709552",1431142200
"1.89199806",1431144000
"1.88749445",1431145800
"1.88749445",1431148500
"1.88715547",1431150300
"1.88749445",1431152100
"1.88749445",1431153900
"1.89199806",1431155700
"1.8069798",1431157500
"1.8069798",1431159300
"1.8069798",1431161100
"1.8069798",1431162900
"1.80697982",1431164700
"1.80697982",1431166500
"1.89254832",1431168300
"1.89254832",1431170100
"1.89254832",1431171900
"1.89254832",1431174600
"1.89254832",1431176400
"1.89254832",1431178200
"1.89254832",1431180000
"1.88856938",1431182700
"1.88856938",1431184500
"1.88856938",1431186300
"1.88477546",1431188100
"1.88477546",1431189900
"1.88477546",1431191700
"1.88477546",1431193500
"1.88477546",1431195300
"1.88477546",1431197100
"1.88477546",1431198900
"1.88477546",1431200700
"1.88477546",1431202500
"1.88477546",1431204300
"1.88856938",1431206100
"1.81125824",1431207900
"1.81125824",1431209700
"1.81125824",1431211500
"1.88826989",1431213300
"1.88826989",1431215100
"1.81125824",1431216900
"1.81125824",1431218700
"1.81125824",1431220500
"1.81125824",1431222300
"1.81125824",1431224100
"1.81104431",1431225900
"1.8846789",1431227700
"1.82004109",1431229500
"1.8846789",1431231300
"1.88809933",1431233100
"1.88826091",1431234900
"1.88826091",1431236700
"1.88826091",1431238500
"1.88826091",1431240300
"1.88809933",1431242100
"1.88826091",1431243900
"1.88826944",1431245700
"1.88826179",1431247500
"1.98790632",1431249300
"1.98790632",1431251100
"1.98790632",1431252900
"1.98292407",1431254700
"1.8932433",1431256500
"1.89785618",1431258300
"1.96679053",1431260100
"1.90292327",1431261900
"1.90292327",1431263700
"1.95522787",1431265500
"1.90206038",1431267300
"1.94845454",1431269100
"1.94786081",1431270900
"1.89493201",1431272700
"1.94786081",1431274500
"1.94812821",1431276300
"1.94814834",1431278100
"1.94812821",1431279900
"1.94812821",1431281700
"1.94809706",1431283500
"1.94809706",1431285300
"1.94808524",1431287100
"1.9417729",1431288900
"1.9361476",1431290700
"1.9361476",1431292500
"1.93597337",1431295200
"1.93597337",1431297000
"1.93597337",1431299700
"1.93597337",1431301500
"1.93597337",1431303300
"1.93597337",1431305100
"1.93597337",1431307800
"1.93597337",1431310500
"1.93597337",1431312300
"1.92844057",1431314100
"1.92218525",1431315900
"1.92218525",1431317700
"1.92218523",1431319500
"1.92030991",1431321300
"1.90561128",1431323100
"1.85734857",1431342900
"1.84707039",1431344700
"1.84130678",1431347400
"1.73727366",1431351900
"1.84130678",1431353700
"1.88941274",1431363600
"1.88941274",1431369000
"1.91304961",1431371700
"1.91304961",1431374400
"1.93778681",1431376200
"1.91435157",1431378900
"1.91435157",1431382500
"1.93778681",1431384300
"1.93778681",1431388800
"1.93778681",1431394200
"1.93778681",1431396900
"1.98415748",1431401400
"1.98415748",1431405000
"1.98415748",1431410400
"1.98060209",1431431100
"1.98060209",1431437400
"1.98060209",1431439200
"1.97",1431450000
"1.77071578",1431593100
"1.79181954",1431598500
"1.80842172",1431600300
"1.81148327",1431602100
"1.81148327",1431603900
"1.86965259",1431607500
"1.8193652",1431610200
"1.8193652",1431612000
"1.81936521",1431613800
"1.81936521",1431615600
"1.83689228",1431617400
"1.84496539",1431619200
"1.8616916",1431621000
"1.82617917",1431623700
"1.86130792",1431627300
"1.87599298",1431632700
"1.87672552",1431634500
"1.8924779",1431636300
"1.88797581",1431642600
"1.93162377",1431665100
"1.9392492",1431666900
"1.95754036",1431668700
"1.96027274",1431670500
"1.96165411",1431672300
"1.96165411",1431675000
"1.96401624",1431676800
"1.96401623",1431678600
"1.96401623",1431680400
"1.96401623",1431682200
"1.96725247",1431684000
"1.96725247",1431685800
"1.96725247",1431687600
"1.97324041",1431689400
"1.97455977",1431691200
"1.97455977",1431693000
"1.97636737",1431694800
"1.97832966",1431696600
"1.98031759",1431698400
"1.98066259",1431700200
"1.98066259",1431702000
"1.98724863",1431703800
"1.98215538",1431705600
"1.98215538",1431707400
"1.98263159",1431709200
"1.98263159",1431711000
"1.98308399",1431720900
"1.98308399",1431722700
"1.98308399",1431724500
"2.00068799",1431727200
"1.98386721",1431729000
"1.98217332",1431731700
"1.98215809",1431734400
"1.98215597",1431736200
"1.98215538",1431744300
"1.98263159",1431746100
"2.01917287",1431750600
"2.14381469",1431756000
"2.15397533",1431763200
"2.15299962",1431766800
"2.03387864",1431771300
"2.15207336",1431776700
"2.0311493",1431779400
"2.0311493",1431782100
"2.0311493",1431783900
"2.0311493",1431785700
"2.0311493",1431787500
"2.0311493",1431789300
"2.02864195",1431791100
"2.09824668",1431792900
"2.02988693",1431794700
"2.03111002",1431796500
"2.03464621",1431798300
"2.05511473",1431800100
"2.05950062",1431801900
"2.06083694",1431803700
"2.06071113",1431805500
"2.08104057",1431807300
"2.07947822",1431809100
"2.08367296",1431810900
"2.08367296",1431812700
"2.08367296",1431814500
"2.08408783",1431816300
"2.08367296",1431818100
"2.08367296",1431819900
"2.08367296",1431821700
"2.08767684",1431823500
"2.08767684",1431825300
"2.08767684",1431828000
"2.08767684",1431829800
"2.08767684",1431831600
"2.08767684",1431833400
"2.08367296",1431835200
"2.15917837",1431837000
"2.15917837",1431838800
"2.08367296",1431840600
"2.11592463",1431842400
"2.0339619",1431844200
"2.05011872",1431846000
"2.0587015",1431847800
"2.09052387",1431849600
"2.0480273",1431851400
"2.09196117",1431853200
"2.0780087",1431855000
"2.04830957",1431856800
"2.04830957",1431858600
"2.04830957",1431860400
"2.07665666",1431862200
"2.07665666",1431864000
"2.07665666",1431865800
"2.07665666",1431867600
"2.07650131",1431870300
"2.07650131",1431872100
"2.07142307",1431873900
"2.04751887",1431880200
