"price","tmsp"
"1.4628",1431279900
"1.463",1431281700
"1.46559998",1431283500
"1.45969997",1431285300
"1.45339996",1431287100
"1.45149996",1431288900
"1.45149996",1431290700
"1.45539996",1431292500
"1.45339996",1431294300
"1.45339996",1431296100
"1.45339996",1431297900
"1.45149996",1431299700
"1.45339996",1431301500
"1.45149996",1431303300
"1.45149996",1431305100
"1.45149996",1431306900
"1.45149996",1431308700
"1.45149996",1431310500
"1.45149996",1431312300
"1.45149996",1431314100
"1.45149996",1431315900
"1.45149996",1431317700
"1.45149996",1431319500
"1.45339995",1431321300
"1.45149995",1431324000
"1.41680001",1431329400
"1.45169996",1431342900
"1.45169996",1431344700
"1.45169996",1431346500
"1.45169996",1431348300
"1.45169996",1431350100
"1.45169996",1431351900
"1.45169996",1431353700
"1.45169996",1431355500
"1.45169996",1431357300
"1.45179996",1431361800
"1.45179996",1431363600
"1.42510003",1431367200
"1.42500004",1431369900
"1.45049996",1431371700
"1.45049996",1431373500
"1.45049996",1431375300
"1.45059996",1431377100
"1.45059996",1431378900
"1.45059996",1431380700
"1.45059996",1431382500
"1.44939",1431384300
"1.449389",1431386100
"1.448189",1431387900
"1.447089",1431389700
"1.447089",1431391500
"1.447089",1431393300
"1.447089",1431395100
"1.447089",1431396900
"1.447089",1431398700
"1.447089",1431400500
"1.447089",1431402300
"1.447089",1431404100
"1.447089",1431405900
"1.42630006",1431431100
"1.42630005",1431437400
"1.446989",1431442800
"1.446989",1431450000
"1.446989",1431453600
"1.446989",1431456300
"1.446989",1431458100
"1.44698",1431462600
"1.44698",1431464400
"1.44698",1431466200
"1.44698",1431468000
"1.44588",1431469800
"1.444879",1431472500
"1.444879",1431475200
"1.444879",1431477900
"1.4393",1431486000
"1.4286",1431491400
"1.4286",1431493200
"1.4286",1431495000
"1.43",1431502200
"1.41800029",1431507600
"1.41800033",1431510300
"1.446879",1431514800
"1.4643",1431517500
"1.47924999",1431519300
"1.4515001",1431521100
"1.45000001",1431523800
"1.44829995",1431526500
"1.44829988",1431530100
"1.44829984",1431531900
"1.41980023",1431533700
"1.42130023",1431535500
"1.42130023",1431537300
"1.42130023",1431539100
"1.42130023",1431540900
