"price","tmsp"
"2.00135623",1432215000
"2.00135623",1432216800
"1.92334837",1432217700
"1.92276114",1432218600
"1.92220064",1432220400
"1.91478117",1432221300
"1.91478117",1432222200
"1.91478117",1432223100
"1.91478117",1432224000
"1.91478117",1432224900
"1.99288078",1432226700
"1.99288078",1432228500
"1.99288078",1432229400
"1.99288078",1432230300
"1.91478117",1432231200
"1.99288078",1432232100
"1.91478117",1432233000
"1.91478117",1432233900
"1.99288078",1432234800
"1.93109965",1432235700
"1.99373965",1432236600
"1.93109965",1432237500
"1.93109965",1432238400
"1.93109965",1432239300
"1.99373965",1432240200
"1.93109965",1432241100
"1.93109965",1432242000
"1.99434343",1432242900
"1.99434343",1432243800
"1.99434343",1432244700
"1.99391365",1432245600
"1.94257147",1432247400
"1.99434343",1432248300
"1.99434343",1432249200
"1.99504465",1432250100
"1.99504465",1432251000
"1.99031837",1432251900
"1.99031837",1432252800
"1.95589465",1432253700
"1.98560958",1432254600
"1.98560958",1432255500
"1.98717352",1432256400
"1.98045401",1432257300
"1.980454",1432258200
"1.98045401",1432259100
"1.98045401",1432260000
"1.98045401",1432260900
"1.98045401",1432261800
"1.98045401",1432263600
"1.98261869",1432264500
"1.9826187",1432265400
"1.97801682",1432266300
"1.98261869",1432267200
"1.94884055",1432268100
"1.94908276",1432269000
"1.98294195",1432269900
"1.95055563",1432270800
"1.93347168",1432271700
"1.93347168",1432272600
"1.97017522",1432273500
"1.86211442",1432274400
"1.93709716",1432275300
"1.85975437",1432277100
"1.96662264",1432278900
"1.96662264",1432279800
"1.96662264",1432280700
"1.96662264",1432281600
"1.96662264",1432282500
"1.96662264",1432283400
"1.96662264",1432284300
"1.85630841",1432285200
"1.96049186",1432286100
"1.96049186",1432287000
"1.95496727",1432289700
"1.95496727",1432290600
"1.95496727",1432291500
"1.95496727",1432292400
"1.95496727",1432295100
"1.95496727",1432296000
"1.95496727",1432296900
"1.95496727",1432298700
"1.95496727",1432299600
"1.95496727",1432300500
"1.95496727",1432301400
"1.95496727",1432303200
"1.94971891",1432305900
"1.94971891",1432306800
"1.85",1432308600
"1.59145995",1432312200
"1.60597227",1432313100
"1.6312149",1432323900
"1.57247034",1432330200
"1.57247035",1432331100
"1.65569352",1432338300
"1.69503594",1432339200
"1.61350767",1432350900
"1.58750808",1432375200
"1.555",1432376100
"1.54420111",1432385100
"1.5979351",1432394100
"1.63619972",1432416600
"1.64336813",1432417500
"1.64494353",1432438200
"1.65037187",1432538100
"1.61010934",1432541700
"1.62631767",1432542600
"1.62973887",1432546200
"1.62817308",1432547100
"1.62817308",1432549800
"1.62817307",1432550700
"1.62817307",1432554300
"1.62147508",1432556100
"1.57665017",1432566900
"1.6278002",1432569600
"1.6278002",1432573200
"1.6278002",1432574100
"1.6278002",1432575000
"1.57227723",1432583100
"1.56919262",1432584000
"1.62111375",1432584900
"1.62111375",1432585800
"1.62344479",1432588500
"1.62111375",1432589400
"1.563031",1432591200
"1.62111375",1432592100
"1.62111375",1432593900
"1.62111375",1432596600
"1.62344479",1432597500
"1.62111375",1432600200
"1.62094071",1432602900
"1.62344479",1432603800
"1.62111375",1432604700
"1.62344479",1432605600
"1.62111375",1432607400
"1.62344479",1432608300
"1.62111375",1432610100
"1.51623341",1432618200
"1.51623341",1432619100
"1.51623341",1432620000
"1.51623341",1432623600
"1.51623341",1432628100
"1.51623341",1432629000
"1.51601314",1432629900
"1.59134741",1432630800
"1.51601314",1432631700
"1.59134741",1432632600
"1.51601314",1432633500
"1.59134741",1432635300
"1.51601314",1432636200
"1.51601314",1432637100
"1.51601314",1432638000
"1.59134741",1432638900
"1.51528701",1432639800
"1.51528701",1432641600
"1.51528702",1432642500
"1.51859565",1432645200
"1.57815091",1432646100
"1.57815091",1432647000
"1.51859564",1432647900
"1.57815091",1432649700
"1.57815091",1432650600
"1.51859565",1432656000
"1.51859565",1432656900
"1.51859564",1432657800
"1.57872502",1432666800
"1.57872502",1432667700
"1.57872502",1432668600
"1.518596",1432669500
"1.57872502",1432670400
"1.57872502",1432671300
"1.57872502",1432672200
"1.57872502",1432673100
"1.518596",1432675800
"1.52176069",1432678500
"1.5",1432679400
"1.39972283",1432697400
"1.44244136",1432744200
"1.45119326",1432795500
"1.46188046",1432796400
"1.29437518",1432812600
"1.25",1432845900
"1.39314023",1432856700
"1.45630847",1432871100
"1.5913474",1432931400
"1.5913474",1432943100
"1.54488959",1432999800
"1.56617492",1433066400
"1.6",1433075400
"1.73533232",1433102400
"1.68227126",1433165400
"1.67474653",1433223900
"1.67529264",1433226600
