"price","tmsp"
"1.42780046",1430512200
"1.4306",1430516700
"1.4307",1430520300
"1.4307",1430523900
"1.4313005",1430527500
"1.4313005",1430531100
"1.4309005",1430534700
"1.4309005",1430538300
"1.4309005",1430541900
"1.42290045",1430545500
"1.4305005",1430549100
"1.4305005",1430552700
"1.4301005",1430556300
"1.4314005",1430559900
"1.4314005",1430563500
"1.4314005",1430567100
"1.4314005",1430570700
"1.4314005",1430574300
"1.4314005",1430577900
"1.4319005",1430581500
"1.4314005",1430585100
"1.43299678",1430588700
"1.43299",1430592300
"1.42340045",1430595900
"1.432995",1430599500
"1.43299676",1430603100
"1.43299676",1430606700
"1.42330045",1430610300
"1.4296",1430613900
"1.4293",1430617500
"1.4296",1430621100
"1.4296",1430624700
"1.4297",1430628300
"1.4297",1430631900
"1.47824999",1430635500
"1.43250015",1430639100
"1.47834999",1430642700
"1.47844999",1430646300
"1.47415",1430649900
"1.47025",1430653500
"1.44150004",1430657100
"1.46734999",1430660700
"1.43648605",1430664300
"1.46614991",1430667900
"1.43648605",1430671500
"1.43938605",1430675100
"1.46694891",1430678700
"1.46364891",1430683200
"1.4438",1430686800
"1.4449",1430690400
"1.46464991",1430694000
"1.46574991",1430697600
"1.445",1430701200
"1.4461",1430704800
"1.4461",1430708400
"1.4471",1430712000
"1.448",1430715600
"1.4484",1430719200
"1.46510208",1430722800
"1.4498",1430726400
"1.45060001",1430730000
"1.46520208",1430734500
"1.45140018",1430738100
"1.46530208",1430741700
"1.4657",1430745300
"1.46499999",1430748900
"1.46499999",1430752500
"1.46459999",1430756100
"1.46449999",1430759700
"1.4504",1430763300
"1.4511",1430766900
"1.3984",1430772300
"1.4023",1430775900
"1.411",1430779500
"1.411",1430783100
"1.41629999",1430786700
"1.41629999",1430790300
"1.42129997",1430793900
"1.40790001",1430797500
"1.42129983",1430801100
"1.42059982",1430805600
"1.41999981",1430809200
"1.41999982",1430812800
"1.40910001",1430817300
"1.40910001",1430821800
"1.4187996",1430826300
"1.41779959",1430829900
"1.41749993",1430833500
"1.41749986",1430837100
"1.41699981",1430840700
"1.41699981",1430845200
"1.41649989",1430848800
"1.41689999",1430852400
"1.4182996",1430856000
"1.4177996",1430859600
"1.4349",1430863200
"1.4346",1430866800
"1.4347",1430870400
"1.4334",1430874000
"1.43639999",1430877600
"1.4365",1430881200
"1.4365",1430884800
"1.4366",1430888400
"1.4366",1430892000
"1.4366",1430895600
"1.43659998",1430899200
"1.43549999",1430902800
"1.41439213",1430906400
"1.43549999",1430910000
"1.43549999",1430913600
"1.4357",1430918100
"1.4393",1430921700
"1.4393",1430925300
"1.439",1430928900
"1.4377",1430932500
"1.43659999",1430936100
"1.4364",1430939700
"1.4298",1430943300
"1.40210001",1430946900
"1.402",1430951400
"1.402",1430955900
"1.4022",1430959500
"1.33380002",1430971200
"1.4103",1430987400
"1.4176",1430997300
"1.35130046",1431000900
"1.36440053",1431004500
"1.37510062",1431008100
"1.38460072",1431012600
"1.38640079",1431016200
"1.38970006",1431019800
"1.39280011",1431023400
"1.4364",1431027000
"1.45189999",1431030600
"1.40310049",1431034200
"1.40570059",1431037800
"1.40570071",1431041400
"1.4057008",1431045000
"1.40570087",1431048600
"1.40820094",1431052200
"1.41050109",1431056700
"1.45289998",1431061200
"1.45289998",1431064800
"1.45339999",1431072000
"1.45339999",1431090000
"1.45409999",1431097200
"1.45409999",1431100800
"1.45409999",1431104400
"1.4756",1431108000
"1.45500003",1431111600
"1.4785",1431115200
"1.4764",1431118800
"1.4744",1431122400
"1.4785",1431126000
"1.4787",1431129600
"1.4787",1431133200
"1.4787",1431136800
"1.4768",1431140400
"1.4769",1431144000
"1.4771",1431147600
"1.4771",1431151200
"1.4771",1431154800
"1.4771",1431158400
"1.47759998",1431162000
"1.4718999",1431165600
"1.47519997",1431169200
"1.47289998",1431173700
"1.47289998",1431177300
"1.47079997",1431180900
"1.47289996",1431189000
"1.43210005",1431198000
"1.46899983",1431205200
"1.46728999",1431208800
"1.46728999",1431212400
"1.46728999",1431216000
"1.4672",1431219600
"1.46719999",1431223200
"1.46719999",1431226800
"1.46559999",1431230400
"1.46559999",1431234000
"1.46559998",1431237600
"1.46559998",1431241200
"1.46559999",1431244800
"1.46409998",1431248400
"1.46259998",1431252000
"1.40343718",1431255600
"1.45829997",1431259200
"1.45829997",1431262800
"1.46249998",1431266400
"1.46279998",1431270000
"1.46279998",1431273600
"1.4628",1431277200
"1.4147002",1431280800
"1.46459999",1431284400
"1.45339996",1431288000
"1.45339996",1431291600
"1.45339996",1431295200
"1.45339996",1431298800
"1.45339996",1431302400
"1.45149996",1431306000
"1.45149996",1431309600
"1.45149996",1431313200
"1.45149996",1431316800
"1.45149996",1431320400
"1.4492",1431325800
"1.45169996",1431343800
"1.45169996",1431347400
"1.45169996",1431351000
"1.45169996",1431354600
"1.42200003",1431359100
"1.45179996",1431365400
"1.44919996",1431370800
"1.45049996",1431374400
"1.45059996",1431378000
