"price","tmsp"
"1.54420111",1432385100
"1.5979351",1432394100
"1.63619972",1432416600
"1.64336813",1432417500
"1.64494353",1432438200
"1.65037187",1432538100
"1.61010934",1432541700
"1.62631767",1432542600
"1.62973887",1432546200
"1.62817308",1432547100
"1.62817308",1432549800
"1.62817307",1432550700
"1.62817307",1432554300
"1.62147508",1432556100
"1.57665017",1432566900
"1.6278002",1432569600
"1.6278002",1432573200
"1.6278002",1432574100
"1.6278002",1432575000
"1.57227723",1432583100
"1.56919262",1432584000
"1.62111375",1432584900
"1.62111375",1432585800
"1.62344479",1432588500
"1.62111375",1432589400
"1.563031",1432591200
"1.62111375",1432592100
"1.62111375",1432593900
"1.62111375",1432596600
"1.62344479",1432597500
"1.62111375",1432600200
"1.62094071",1432602900
"1.62344479",1432603800
"1.62111375",1432604700
"1.62344479",1432605600
"1.62111375",1432607400
"1.62344479",1432608300
"1.62111375",1432610100
"1.51623341",1432618200
"1.51623341",1432619100
"1.51623341",1432620000
"1.51623341",1432623600
"1.51623341",1432628100
"1.51623341",1432629000
"1.51601314",1432629900
"1.59134741",1432630800
"1.51601314",1432631700
"1.59134741",1432632600
"1.51601314",1432633500
"1.59134741",1432635300
"1.51601314",1432636200
"1.51601314",1432637100
"1.51601314",1432638000
"1.59134741",1432638900
"1.51528701",1432639800
"1.51528701",1432641600
"1.51528702",1432642500
"1.51859565",1432645200
"1.57815091",1432646100
"1.57815091",1432647000
"1.51859564",1432647900
"1.57815091",1432649700
"1.57815091",1432650600
"1.51859565",1432656000
"1.51859565",1432656900
"1.51859564",1432657800
"1.57872502",1432666800
"1.57872502",1432667700
"1.57872502",1432668600
"1.518596",1432669500
"1.57872502",1432670400
"1.57872502",1432671300
"1.57872502",1432672200
"1.57872502",1432673100
"1.518596",1432675800
"1.52176069",1432678500
"1.5",1432679400
"1.39972283",1432697400
"1.44244136",1432744200
"1.45119326",1432795500
"1.46188046",1432796400
"1.29437518",1432812600
"1.25",1432845900
"1.39314023",1432856700
"1.45630847",1432871100
"1.5913474",1432931400
"1.5913474",1432943100
"1.54488959",1432999800
"1.56617492",1433066400
"1.6",1433075400
"1.73533232",1433102400
"1.68227126",1433165400
"1.67474653",1433223900
"1.67529264",1433226600
"1.64682473",1433251800
"1.67522013",1433261700
