"price","tmsp"
"1.80479988",1432644300
"1.8047",1432645200
"1.8047",1432646100
"1.80479988",1432647000
"1.80479988",1432647900
"1.80479988",1432648800
"1.80479988",1432649700
"1.80479988",1432650600
"1.80479988",1432651500
"1.80479988",1432652400
"1.80479988",1432653300
"1.80479988",1432654200
"1.80479988",1432655100
"1.80609988",1432656000
"1.82829999",1432656900
"1.82829999",1432657800
"1.82579999",1432658700
"1.82579999",1432659600
"1.8256",1432660500
"1.8256",1432661400
"1.82559999",1432667700
"1.82559999",1432668600
"1.8256",1432670400
"1.8256",1432671300
"1.8233",1432672200
"1.8233",1432673100
"1.81799999",1432675800
"1.818",1432677600
"1.81799999",1432678500
"1.8171",1432679400
"1.78190037",1432683900
"1.78380036",1432685700
"1.78380036",1432687500
"1.78380036",1432688400
"1.81899996",1432691100
"1.78380036",1432692000
"1.8178",1432698300
"1.8178",1432700100
"1.8009",1432701000
"1.819",1432701900
"1.8309",1432702800
"1.80150004",1432703700
"1.8309",1432705500
"1.8309",1432706400
"1.8309",1432708200
"1.8309",1432709100
"1.8309",1432710900
"1.8309",1432711800
"1.831",1432712700
"1.831",1432716300
"1.831",1432717200
"1.80240042",1432718100
"1.80240046",1432719000
"1.82240053",1432728000
"1.8499",1432728900
"1.849",1432733400
"1.8499",1432734300
"1.8499",1432735200
"1.8499",1432736100
"1.8499",1432737000
"1.84440044",1432767600
"1.84440044",1432774800
"1.84440044",1432779300
"1.84440044",1432780200
"1.84440041",1432792800
"1.84440044",1432813500
"1.84440044",1432814400
"1.84440044",1432820700
"1.84440044",1432824300
"1.80240133",1432831500
"1.80240045",1432841400
"1.84499995",1432852200
"1.77700086",1432856700
"1.75700146",1432885500
"1.843",1432908900
"1.843",1432915200
"1.798",1433009700
"1.81",1433015100
"1.818",1433017800
"1.818",1433056500
"1.818",1433058300
"1.818",1433062800
"1.75700076",1433066400
"1.75700066",1433067300
"1.71",1433077200
"1.7",1433080800
"1.69",1433083500
"1.68",1433097000
"1.63500068",1433173500
"1.635",1433174400
"1.7085",1433182500
"1.46850001",1433183400
"1.46850001",1433193300
"1.69444718",1433261700
"1.69444718",1433262600
"1.69444718",1433263500
