"price","tmsp"
"2.08408783",1431820800
"2.08367296",1431821700
"2.08367296",1431822600
"2.08767684",1431823500
"2.08767684",1431824400
"2.08767684",1431825300
"2.08767684",1431827100
"2.08767684",1431828000
"2.08767684",1431828900
"2.08767684",1431829800
"2.08767684",1431830700
"2.08767684",1431831600
"2.08767684",1431832500
"2.08767684",1431833400
"2.08367296",1431834300
"2.08367296",1431835200
"2.08367296",1431836100
"2.15917837",1431837000
"2.08367296",1431837900
"2.15917837",1431838800
"2.08367296",1431839700
"2.08367296",1431840600
"2.07",1431841500
"2.11592463",1431842400
"2.05153361",1431843300
"2.0339619",1431844200
"2.03766271",1431845100
"2.05011872",1431846000
"2.14844065",1431846900
"2.0587015",1431847800
"2.12332436",1431848700
"2.09052387",1431849600
"2.07901626",1431850500
"2.0480273",1431851400
"2.0956486",1431852300
"2.09196117",1431853200
"2.0867976",1431854100
"2.0780087",1431855000
"2.04830957",1431855900
"2.04830957",1431856800
"2.07807211",1431857700
"2.04830957",1431858600
"2.07807211",1431859500
"2.04830957",1431860400
"2.07972558",1431861300
"2.07665666",1431862200
"2.07665666",1431863100
"2.07665666",1431864000
"2.07665666",1431864900
"2.07665666",1431865800
"2.07665666",1431866700
"2.07665666",1431867600
"2.07665666",1431868500
"2.07650131",1431870300
"2.07650131",1431871200
"2.07650131",1431872100
"2.07807211",1431873000
"2.07142307",1431873900
"2.07142307",1431876600
"2.04751887",1431880200
"2.073645",1431882000
"2.07378105",1431882900
"2.07378105",1431883800
"2.07220894",1431884700
"2.07220894",1431885600
"2.07220891",1431886500
"2.07220888",1431887400
"2.07220894",1431888300
"2.07220892",1431889200
"2.07220891",1431890100
"2.0722089",1431891000
"2.07220894",1431891900
"2.07220891",1431893700
"2.07220887",1431896400
"2.07220889",1431898200
"2.07220888",1431899100
"2.07220885",1431900000
"2.07220885",1431900900
"2.07220882",1431901800
"2.07220882",1431902700
"2.07220881",1431903600
"2.07220879",1431904500
"2.07084451",1431906300
"2.07084447",1431908100
"2.07084446",1431909000
"2.07084446",1431909900
"2.07084443",1431911700
"2.04628805",1431912600
"2.0708444",1431913500
"2.07084439",1431914400
"2.07084435",1431915300
"2.07084433",1431916200
"2.07084431",1431917100
"2.0708443",1431918000
"2.04628805",1431918900
"2.03939",1431919800
"2.03939",1431920700
"2.07048114",1431921600
"1.99095082",1431923400
"1.99221897",1431924300
"1.95011771",1431925200
"1.98437919",1431926100
