"price","tmsp"
"233.4068",1432235700
"232.9586",1432236600
"233.2235",1432237500
"233.101",1432238400
"232.5429",1432239300
"232.3606",1432240200
"232.3606",1432241100
"232.3576",1432242000
"232.3267",1432242900
"232.3261",1432243800
"232.3162",1432244700
"232.3114",1432245600
"232.3088",1432246500
"232.3353",1432247400
"232.3087",1432248300
"232.3335",1432249200
"232.3335",1432250100
"232.3335",1432251000
"232.3335",1432251900
"232.3087",1432252800
"232.3335",1432253700
"232.3335",1432254600
"232.3335",1432255500
"232.3353",1432256400
"232.5609",1432257300
"232.6031",1432258200
"232.6574",1432259100
"232.658",1432260000
"232.7109",1432260900
"232.3796",1432261800
"232.3989",1432262700
"232.798",1432263600
"232.4041",1432264500
"232.4041",1432265400
"232.798",1432266300
"232.4041",1432267200
"232.798",1432268100
"233.9279",1432270800
"234.95",1432271700
"234.9975",1432272600
"234.9612",1432273500
"234.9937",1432274400
"234.9323",1432275300
"233.1249",1432276200
"232.9923",1432277100
"232.9078",1432278000
"232.1322",1432278900
"234.9",1432279800
"234.9033",1432280700
"235.4562",1432281600
"235.9387",1432282500
"235.9387",1432283400
"235.998",1432284300
"236.457",1432285200
"237",1432286100
"237",1432287000
"235.9782",1432287900
"234.7928",1432289700
"234.9003",1432291500
"235.2509",1432293300
"235.8905",1432294200
"235.0747",1432296900
"235.0747",1432297800
"235.0275",1432298700
"233.0097",1432299600
"235.1191",1432300500
"233.2769",1432303200
"234.3061",1432304100
"236.5",1432305000
"236.6706",1432305900
"234.8342",1432306800
"234.8499",1432307700
"235.0851",1432310400
"235.2561",1432311300
"237.7513",1432312200
"237.0521",1432313100
"237.0008",1432314000
"237.0016",1432314900
"237.8394",1432315800
"239.9998",1432316700
"239.9666",1432317600
"239.9",1432318500
"239.9667",1432319400
"239.9356",1432320300
"239.9",1432321200
"239.8797",1432322100
"239.88",1432323000
"239.8807",1432323900
"239.8797",1432324800
"239.8804",1432325700
"239.8993",1432326600
"239.8993",1432327500
"239.8794",1432328400
"239.872",1432329300
"239.0905",1432330200
"239.9226",1432332000
"239.9058",1432333800
"239.9996",1432335600
"238.6168",1432336500
"239.8",1432341900
"239.8",1432343700
"239.7211",1432348200
"239.9044",1432350000
"238.734",1432350900
"239.95",1432351800
"239.9196",1432355400
"238.9577",1432356300
"238.592",1432360800
"238.7",1432361700
"239.8632",1432363500
"241",1432364400
"241.491",1432365300
"241.5096",1432366200
"240.0668",1432368900
"242",1432369800
"239.3205",1432370700
"241.5676",1432372500
"240",1432374300
"239.7087",1432376100
"239.8853",1432377000
"241.9292",1432377900
"240.1367",1432378800
"241.8178",1432380600
"241.8178",1432381500
"240.2999",1432382400
"240.2999",1432383300
"240.299599",1432384200
"242",1432385100
"242",1432386000
"242",1432386900
"240.6217",1432387800
"241.9541",1432388700
"242.9999",1432389600
"242.5755",1432390500
"242.8935",1432391400
"242.1275",1432392300
"242.9367",1432393200
"241.1167",1432394100
"242.0011",1432395000
"241.9667",1432395900
"242.795",1432396800
"242.6662",1432397700
"242.7102",1432398600
"241.363",1432399500
"242.9741",1432400400
"241.9367",1432401300
"243.4617",1432402200
"243.3002",1432403100
"242.8105",1432404000
"243.469",1432404900
"243.5466",1432405800
"243.4785",1432406700
"243",1432407600
"242.884",1432408500
"242.9411",1432409400
"241.5895",1432410300
"241.5897",1432411200
"241.3468",1432412100
"242.8039",1432413000
"241.4802",1432413900
"241.3001",1432414800
"241.276",1432415700
"241.3666",1432416600
"241.276",1432417500
"241.18319",1432418400
"240.8867",1432419300
"241.2626",1432420200
"240.5879",1432421100
"239.5809",1432422000
"239.272",1432422900
"239.335",1432425600
"239.455",1432426500
"241.2027",1432427400
"239.6001",1432428300
"241.9197",1432431900
"240.5639",1432433700
"240.1196",1432434600
"242.0803",1432435500
"242.9001",1432439100
"242.6903",1432440000
"242.6884",1432440900
"242.78",1432441800
"241.1637",1432443600
"241.28548",1432445400
"242.3794",1432446300
"242.6246",1432447200
"242.6218",1432448100
"242.6246",1432449000
"242.6246",1432449900
"242.6246",1432450800
"242.7238",1432451700
"242.7027",1432452600
"242.7365",1432453500
"242.7199",1432454400
"242.7903",1432455300
"242.7903",1432456200
"243.2593",1432458000
"242.9042",1432460700
"243.3446",1432461600
"241.5001",1432464300
"242.6871",1432466100
"241.9912",1432467900
"243.2089",1432468800
"242.1057",1432469700
"243.4873",1432470600
"242.9223",1432473300
"241.9014",1432476900
"242.5369",1432477800
"242.56",1432478700
"241.9593",1432479600
"241.936",1432480500
"243.2887",1432481400
"242.204",1432482300
"241.3",1432483200
"243.19",1432484100
"243.127",1432485000
"242.2209",1432486800
"241.3609",1432487700
"241.0001",1432488600
"241.0001",1432489500
"243.0137",1432490400
"243",1432491300
"243.002",1432493100
"242.0491",1432494000
"243.5018",1432495800
"242.255",1432497600
"243.8999",1432498500
"244.2",1432499400
"243.9384",1432500300
"244",1432501200
"241.284",1432504800
"243.8968",1432505700
"242.0667",1432507500
"241.3768",1432509300
"242.0215",1432512000
"242.0001",1432512900
"243.9097",1432513800
"241.2934",1432514700
"242.7296",1432516500
"242.1377",1432517400
"241.5679",1432518300
"241.5779",1432519200
"241.906",1432520100
"241.2928",1432521900
"241.931",1432522800
"242.1312",1432523700
"242.0001",1432524600
"243.8552",1432525500
"242.0001",1432526400
"243.9999",1432528200
"242.26",1432529100
"243.9399",1432530900
"242.3547",1432531800
"243.9976",1432532700
"243.995",1432534500
"244.1",1432535400
"242.6221",1432538100
"242.5905",1432539000
"242.0571",1432540800
"241.9733",1432543500
"242.8004",1432545300
"241.7004",1432546200
"242.6235",1432547100
"242.9999",1432548000
"240.5522",1432548900
"241.3244",1432549800
"240.4878",1432551600
"240.01",1432552500
"240.2853",1432558800
"240.9446",1432560600
"241.031",1432564200
"240.9804",1432565100
"240.5239",1432566000
"240.9967",1432566900
"241.5931",1432567800
"241.0948",1432569600
"240.6625",1432570500
"241.6059",1432571400
"242.22621",1432572300
"241.5548",1432573200
"241.5",1432574100
"240.4303",1432575000
"240.4303",1432575900
"240.4279",1432576800
"240.3046",1432577700
"240.6354",1432578600
"240.6354",1432579500
"240.6354",1432580400
"240.6354",1432581300
"240.6473",1432582200
"240.3667",1432583100
"240.6473",1432584000
"240.6473",1432584900
"240.6457",1432585800
"240.4728",1432586700
"240.5464",1432587600
"240.073",1432588500
"240.0567",1432589400
"240.0893",1432590300
"240.0808",1432591200
"240.0883",1432592100
"240.2987",1432593000
"240.0883",1432593900
"240.0948",1432594800
"240.5021",1432595700
"240.5",1432596600
"240.0629",1432597500
"240.1113",1432602000
"240.8295",1432603800
"241",1432605600
"241.2996",1432608300
"240.3334",1432609200
"241.2674",1432610100
"241.047",1432614600
"240.9959",1432615500
"241.0288",1432616400
"241.013",1432617300
"241.0124",1432618200
"240.9023",1432619100
"240.5314",1432620000
"240.5314",1432620900
"240.5",1432621800
"240.3102",1432622700
"240.3201",1432623600
"240.6058",1432624500
"240.3201",1432625400
"240.3102",1432626300
"239.0142",1432627200
"239.4223",1432628100
"239.4083",1432629000
"239.4083",1432629900
"240.8806",1432630800
"239.5171",1432631700
"238.8246",1432633500
"241",1432634400
"240.8548",1432636200
"241.3318",1432637100
"240.6934",1432638000
"240.9943",1432638900
"241.4172",1432640700
"239.5558",1432641600
"241.1198",1432646100
"239.5",1432647000
"241.0065",1432647900
"241.0203",1432648800
"241.3911",1432649700
"239.7232",1432651500
"239.7232",1432652400
"240.9493",1432653300
"239.6946",1432654200
"240.9708",1432655100
"240.9709",1432656000
"239.8477",1432656900
"240.4362",1432657800
"239.8739",1432658700
"240.5412",1432661400
"241.1476",1432662300
"241.1476",1432664100
"239.9796",1432665000
"240.9112",1432666800
"240.9112",1432668600
"240.2294",1432671300
"239.7682",1432672200
"240.217",1432673100
"240.6188",1432675800
"239.6164",1432676700
"239.4192",1432677600
"240.068",1432685700
"240.375",1432686600
"239.4818",1432687500
"240.010476",1432688400
"240.6533",1432691100
"240",1432695600
"239.9144",1432698300
"239.9144",1432699200
"239.8006",1432700100
"239.7844",1432701000
"240",1432702800
"241",1432705500
"238.7173",1432706400
"241",1432707300
"240.9267",1432708200
"240.9267",1432709100
"240.9999",1432712700
"241",1432714500
"238.9",1432716300
"238.9",1432717200
"240.6415",1432719000
"240.7776",1432721700
"240.7776",1432723500
"241.0544",1432724400
"241.8003",1432727100
"241.5",1432728900
"241.5",1432732500
"239.5",1432733400
"241.5",1432734300
"241",1432735200
"241.8",1432736100
"239",1432737000
"236",1432737900
"237",1432738800
"237.1001",1432739700
"237.21",1432740600
"239.9",1432741500
"240",1432742400
"239.9",1432744200
"237.1201",1432746900
"239.8",1432749600
"237.12",1432750500
"237.14",1432752300
"240",1432755900
"240",1432757700
"240",1432758600
"238.0001",1432759500
"239",1432760400
"240.9875",1432765800
"240",1432767600
"241.8",1432769400
"241.8343",1432770300
"240",1432774800
"240.4",1432776600
"241.5",1432777500
"241",1432779300
"241",1432780200
"241",1432781100
"241.8361",1432782900
"241.6024",1432786500
"240.4",1432787400
"240.1",1432789200
"240.1",1432790100
"241.99",1432791000
"240",1432792800
"241.9999",1432793700
"240.9",1432797300
"241.9989",1432798200
"240.001",1432800000
"240.001",1432800900
"241.3325",1432801800
"241.1447",1432802700
"241.101",1432804500
"241.0686",1432807200
"241",1432808100
"240.2",1432812600
"240.2",1432813500
"240.2",1432814400
"240.2",1432817100
"240.2",1432818000
"241.3324",1432819800
"241",1432820700
"241.665",1432822500
"241.9",1432823400
"240.0001",1432824300
"241.8499",1432825200
"240.01",1432827000
"240.01",1432827900
"240",1432828800
"241.7299",1432829700
"241.73",1432830600
"241.73",1432831500
"240.1",1432832400
"240.001",1432833300
"241.63",1432834200
"240.001",1432835100
"241.6339",1432836900
"241.6339",1432837800
"241.634",1432838700
"241.835",1432839600
"241.835",1432840500
"241.2713",1432841400
"240.001",1432844100
"241.2713",1432845000
"240.001",1432846800
"241.5864",1432847700
"241.7355",1432849500
"241.7355",1432852200
"240.0011",1432853100
"241.8346",1432855800
"240.0001",1432859400
"241.4023",1432863000
"241.958",1432866600
"241.958",1432867500
"241.958",1432868400
"241.7583",1432870200
"241.7583",1432871100
"241.773",1432872900
"241.77",1432875600
"241.77",1432882800
"240.0101",1432885500
"240.01",1432889100
"240.5176",1432890900
"240.5176",1432891800
"240.5176",1432892700
"240.1265",1432894500
"240.1265",1432897200
"240.49114",1432898100
"240.6114",1432899000
"240.01",1432900800
"235.4224",1432901700
"239.9999",1432904400
"239.99",1432905300
"239.99",1432906200
"239.9989",1432907100
"239.9989",1432908900
"238",1432910700
"240.1332",1432911600
"240.1332",1432912500
"240.1332",1432913400
"240.1332",1432914300
"240.3264",1432915200
"239.1332",1432917000
"239.1332",1432917900
"239.1332",1432922400
"240.3163",1432923300
"240.3163",1432924200
"239",1432926000
"239",1432927800
"240",1432934100
"239",1432935000
"240.7999",1432936800
"240.8252",1432937700
"239.01",1432938600
"239.01",1432943100
"240.3056",1432944000
"239.01",1432945800
"239.01",1432946700
"240.3057",1432947600
"240.1954",1432949400
"240.015",1432953900
"239",1432955700
"239.6388",1432956600
"238",1432959300
"239.6389",1432960200
"238.0001",1432962000
"236.0001",1432962900
"239.9337",1432963800
"236.0003",1432966500
"236.0002",1432967400
"238.9999",1432969200
"237.3",1432970100
"238.9999",1432972800
"239.7435",1432973700
"239.7437",1432974600
"239.7438",1432975500
"239.7438",1432976400
"239.7438",1432977300
"237.3334",1432978200
"237.6633",1432979100
"237.0081",1432980000
"237.0081",1432980900
"237.0081",1432981800
"237.0081",1432982700
"237.0081",1432983600
"237.0081",1432984500
"237.0921",1432985400
"236.1",1432986300
"237.3836",1432987200
"237.3836",1432988100
"237.3836",1432989000
"237.3836",1432989900
"237.0783",1432990800
"237.0782",1432991700
"237.0782",1432992600
"237.0001",1432993500
"236.1",1432994400
"237.0001",1432995300
"237.3082",1432996200
"237.3082",1432997100
"237.4789",1432999800
"237.479",1433001600
"237.0741",1433007000
"236.6251",1433009700
"237.0206",1433011500
"237.0207",1433012400
"236.85",1433015100
"236.85",1433016900
"236.9201",1433021400
"237.3991",1433023200
"237.4758",1433028600
"237.5079",1433038500
"237.4447",1433039400
"237.4447",1433042100
"237.3106",1433043000
"237.4421",1433048400
"238",1433051100
"237.3077",1433053800
"237.3077",1433054700
"237.3069",1433055600
"236.9202",1433056500
"236.9202",1433059200
"237.3072",1433061900
"237.3072",1433062800
"236.9202",1433065500
"236.6165",1433066400
"236",1433067300
"236.6165",1433068200
"236",1433070000
"235.227",1433070900
"235",1433073600
"235.227",1433074500
"234.91676",1433076300
"235",1433077200
"234.5839",1433078100
"235",1433079000
"235",1433079900
"235",1433080800
"235",1433082600
"235",1433083500
"235",1433085300
"235.8482",1433087100
"235.8482",1433088900
"236.3009",1433089800
"235.8483",1433092500
"236.3657",1433093400
"236.3657",1433094300
"236.3657",1433095200
"235.2972",1433097900
"235.2972",1433098800
"235.2972",1433099700
"235.1418",1433100600
"235.1419",1433102400
"235.1419",1433103300
"235.0813",1433106000
"234.2845",1433111400
"234.2845",1433112300
"234.2845",1433113200
"233.4984",1433116800
"234.0275",1433118600
"233",1433121300
"232.1004",1433123100
"234.5205",1433124900
"232.5205",1433125800
"234.5205",1433126700
"234.9726",1433128500
"234.9726",1433129400
"234.5204",1433132100
"233.9999",1433137500
"234.6244",1433138400
"235.0799",1433141100
"235.0799",1433142000
"235.0799",1433142900
"234.2431",1433143800
"234",1433144700
"233",1433145600
"233",1433146500
"232.1004",1433147400
"233",1433148300
"232.5",1433150100
"233",1433152800
"233",1433153700
"232.9999",1433154600
"232",1433155500
"232.0091",1433160900
"232.0091",1433161800
"231.4525",1433162700
"231.1",1433164500
"231.5027",1433165400
"230.9198",1433167200
"232.0482",1433168100
"232.3822",1433169000
"230.0101",1433171700
"229",1433172600
"227.0001",1433173500
"227.9999",1433175300
"228.7082",1433176200
"229",1433177100
"230",1433178900
"226.3891",1433179800
"226.4",1433182500
"227.9999",1433183400
"227.8",1433184300
"227.8764",1433185200
"226.3891",1433187000
