"price","tmsp"
"1.4281",1432001700
"1.4272",1432002600
"1.4272",1432003500
"1.4272",1432004400
"1.4272",1432005300
"1.4272",1432006200
"1.4255",1432007100
"1.4255",1432008000
"1.4253",1432008900
"1.4253",1432009800
"1.4235",1432010700
"1.4235",1432011600
"1.4235",1432012500
"1.416957",1432013400
"1.416957",1432014300
"1.416957",1432015200
"1.416957",1432016100
"1.416957",1432017000
"1.416957",1432017900
"1.416957",1432018800
"1.415657",1432019700
"1.415657",1432020600
"1.415657",1432021500
"1.415657",1432022400
"1.415657",1432023300
"1.416957",1432024200
"1.416957",1432025100
"1.416957",1432026000
"1.416957",1432026900
"1.41695699",1432027800
"1.41795699",1432028700
"1.41795699",1432029600
"1.41795699",1432030500
"1.41795699",1432031400
"1.39152817",1432033200
"1.39152818",1432034100
"1.4169569",1432035900
"1.41695688",1432036800
"1.4152",1432040400
"1.41649999",1432041300
"1.41366746",1432045800
"1.39132843",1432046700
"1.4136675",1432047600
"1.39132845",1432048500
"1.4136675",1432049400
"1.4136675",1432050300
"1.412467",1432051200
"1.412467",1432052100
"1.413667",1432053000
"1.412467",1432053900
"1.412467",1432054800
"1.412467",1432055700
"1.412467",1432056600
"1.409",1432057500
"1.3911286",1432058400
"1.412467",1432059300
"1.412467",1432060200
"1.412467",1432061100
"1.413667",1432062000
"1.4124675",1432062900
"1.4124675",1432063800
"1.416957",1432064700
"1.416957",1432065600
"1.416957",1432066500
"1.416957",1432067400
"1.416957",1432068300
"1.416957",1432069200
"1.416957",1432070100
"1.416957",1432077300
"1.415657",1432078200
"1.3914286",1432079100
"1.415657",1432080000
"1.415657",1432080900
"1.3914286",1432081800
"1.415657",1432082700
"1.415657",1432083600
"1.415657",1432084500
"1.415657",1432085400
"1.415657",1432086300
"1.415657",1432087200
"1.415657",1432088100
"1.415656",1432089000
"1.415656",1432089900
"1.414356",1432090800
"1.414356",1432091700
"1.415656",1432092600
"1.415657",1432094400
"1.415657",1432095300
"1.4235",1432096200
"1.4235",1432097100
"1.4235",1432098000
"1.4235",1432101600
"1.4235",1432102500
"1.4235",1432103400
"1.4399",1432104300
"1.4479",1432105200
"1.4478",1432106100
"1.4475",1432107000
"1.447",1432107900
"1.4463",1432108800
"1.4448",1432109700
"1.4476",1432110600
"1.4476",1432111500
"1.448",1432112400
"1.448",1432113300
"1.448",1432114200
"1.448",1432115100
"1.448",1432116000
"1.448",1432116900
"1.448",1432117800
"1.448",1432118700
"1.448",1432119600
"1.42990019",1432120500
"1.42990019",1432121400
"1.42990019",1432122300
"1.42990019",1432123200
"1.42990019",1432124100
"1.42990019",1432125000
"1.42990019",1432125900
"1.42989",1432126800
"1.42989",1432127700
"1.42989",1432128600
"1.4299",1432129500
"1.4299",1432130400
"1.4299",1432131300
"1.4299",1432132200
"1.4299",1432133100
"1.41190055",1432134000
"1.4299",1432134900
"1.4299",1432135800
"1.4299",1432136700
"1.4299",1432137600
"1.4299",1432138500
"1.4299",1432139400
"1.43",1432140300
"1.43",1432141200
"1.43",1432142100
"1.43",1432143000
"1.43",1432143900
"1.4291",1432144800
"1.4291",1432145700
"1.4292",1432146600
"1.4292",1432147500
"1.4292",1432148400
"1.4292",1432149300
"1.4293",1432150200
"1.4293",1432151100
"1.4286",1432152000
"1.4286",1432152900
"1.4286",1432153800
"1.4286",1432154700
"1.4286",1432155600
"1.4483",1432156500
"1.4474",1432157400
"1.4475",1432158300
"1.4475",1432159200
"1.4475",1432160100
"1.4475",1432161000
"1.4475",1432161900
"1.4475",1432162800
"1.4342",1432163700
"1.4342",1432164600
"1.4342",1432165500
"1.4342",1432166400
"1.4342",1432167300
"1.41990016",1432168200
"1.4342",1432169100
"1.4342",1432170000
"1.4342",1432170900
"1.4342",1432171800
"1.4342",1432172700
"1.4342",1432173600
"1.4342",1432174500
"1.4342",1432175400
"1.4342",1432176300
